variant,n_embd,n_layer,n_head,seed,accuracy
QKV,64,2,2,0,0.8140
QKV,64,2,4,0,0.8115
QKV,256,2,2,0,0.7535
QKV,256,2,4,0,0.7755
Q=K!=V,64,2,2,0,0.8365
Q=K!=V,64,2,4,0,0.8280
Q=K!=V,256,2,2,0,0.7560
Q=K!=V,256,2,4,0,0.7785
(Q=K!=V)+,64,2,2,0,0.8430
(Q=K!=V)+,64,2,4,0,0.8395
(Q=K!=V)+,256,2,2,0,0.8220
(Q=K!=V)+,256,2,4,0,0.8390
Q!=K=V,64,2,2,0,0.8325
Q!=K=V,64,2,4,0,0.8215
Q!=K=V,256,2,2,0,0.7970
Q!=K=V,256,2,4,0,0.7915
Q=K=V,64,2,2,0,0.8230
Q=K=V,64,2,4,0,0.8110
Q=K=V,256,2,2,0,0.8210
Q=K=V,256,2,4,0,0.7950
(Q=K=V)+,64,2,2,0,0.8360
(Q=K=V)+,64,2,4,0,0.8315
(Q=K=V)+,256,2,2,0,0.8360
(Q=K=V)+,256,2,4,0,0.8335
