layer,cka_teacher_k_v,cka_scratch_vs_teacher_k,cka_scratch_vs_teacher_v
0,0.9384,0.431,0.4496
1,0.9358,0.8886,0.8803
2,0.7942,0.8854,0.8415
3,0.7678,0.7273,0.8735
4,0.768,0.8237,0.7998
5,0.8255,0.7268,0.5597
6,0.9326,0.6923,0.6059
7,0.8841,0.8384,0.736
8,0.6452,0.8726,0.5961
9,0.5011,0.8807,0.4812
10,0.5945,0.8939,0.5858
11,0.5943,0.8888,0.6253
12,0.5914,0.8869,0.5491
13,0.4981,0.8749,0.5342
14,0.4989,0.8411,0.5692
15,0.5105,0.8103,0.693
16,0.5559,0.825,0.7153
17,0.5955,0.8046,0.7109
18,0.6915,0.6618,0.7674
19,0.7879,0.5049,0.7611
